category,assumptions,t0,t1,0,1
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 5 & 1 & 1 & 4 & 4\\-3 &  & -3 & -6 & 15 & -48 & 132\\ \hline  & 1 & 2 & -5 & 16 & -44 & 136\end{array},"p{\left(x\right)} = (x + 3)\,(x^{4} + 2\,x^{3}-5\,x^{2} + 16\,x-44) + 136",,
1.0,n > 4,"\sum_{ k = 1}^{n}\left(3\,k + 1\right)-21","\sum_{ k = 1}^{n}3\,k + \sum_{ k = 1}^{n}1-21",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 3 & 0 & 1 & 0\\-1 &  & -1 & -2 & 2 & -3\\ \hline  & 1 & 2 & -2 & 3 & -3\end{array},"p{\left(x\right)} = (x + 1)\,(1\,x^{3} + 2\,x^{2}-2\,x + 3)-3",,
2.0,\textrm{wahr},"y = x^{2} + 4\,x + 4",y = x + 2,,
2.0,\textrm{wahr},"y = x^{2} + 6\,x-4","y = x^{2} + 2 \cdot 3\,x + 9-9 + 4",,
2.0,\textrm{wahr},"y = x^{2} + 2 \cdot 3\,x + 9-9 + 4",y = \left( x + 3\right)^{2} + 5,,
2.0,\textrm{wahr},"y = x^{2} + 2\,x-1","x^{2} + 2\,x-1 + 1 = x + 2\,x",,
2.0,\textrm{wahr},"x^{2} + 2\,x-1 + 1 = x + 2\,x","x^{2} + 2\,x-1 + 1 + 1 = x^{2} + 2 + 2\,x + 1",,
2.0,\textrm{wahr},"x^{2} + 2\,x-1 + 1 + 1 = x^{2} + 2 + 2\,x + 1","x^{2} + 2\,x-1 + 2 = \left( x + 2\right)^{2}",,
2.0,\textrm{wahr},"x^{2} + 2\,x-1 + 2\ge 0","x^{2} + 2\,x-1 = -2",,
2.0,\textrm{wahr},2 \cdot 2-1-3 \cdot 1 \cdot 12 \cdot 4 \cdot 12 \cdot 22 \cdot 38 \cdot 782 \cdot 6 \cdot 11 \cdot 19 \cdot 39 \cdot 79,"p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 11\,x^{2} + 19\,x + 39) + 79",,
2.0,\textrm{wahr},"x^{2} + 2\,x-1 + 1 = x^{2} + 2\,x","x^{2} + 2\,x-1 + 1 + 1 = x^{2} + 2 + 2\,x + 1",,
2.0,\textrm{wahr},"y = -2\,x^{2} + 4\,x-3","-\frac{y}{2} = x^{2} + 4\,x-3",,
2.0,\textrm{wahr},"-\frac{y}{2} = x^{2}-2\,x + \frac{3}{2}","-\frac{y}{2} = x^{2} + 4\,x + 2^{2}-2^{2}-3",,
2.0,\textrm{wahr},"y = -4\,(x^{2} + 2 + \frac{1}{2}\,x + \frac{1}{4}-\frac{1}{4} + \frac{3}{4})","y = -4\,\left( x + \frac{1}{2}\right)^{2}-\frac{2}{4}",,
2.0,\textrm{wahr},"y = -4\,(x^{2} + x + \frac{3}{4})","y = -4\,(x^{2} + 2 + \frac{1}{2}\,x + \frac{1}{4}-\frac{1}{4} + \frac{3}{4})",,
2.0,\textrm{wahr},"y = -4\,\left( x + \frac{1}{2}\right)^{2}-\frac{2}{4}","y-2 = -4\,\left( x + \frac{1}{2}\right)^{2}",,
2.0,\textrm{wahr},"-\frac{y}{2} = x^{2}-2\,x + 1^{2}-1^{2} + \frac{3}{2}",-\frac{y}{2} = \left( x-1\right)^{2}-\frac{1}{2},,
2.0,\textrm{wahr},-\frac{y}{2} = \left( x-1\right)^{2}-\frac{1}{2},-\frac{y}{2} + 7 = \left( x + 2\right)^{2},,
2.0,\textrm{wahr},"y = -4\,(x^{2} + x + \frac{3}{4})","y = -4\,(x^{2} + 2 + \frac{1}{2}\,x + 0.5^{2}-0.5^{2} + 0.75)",,
2.0,\textrm{wahr},"y = -4\,(x^{2} + 2 + \frac{1}{2}\,x + 0.5^{2}-0.5^{2} + 0.75)","y = -4\,\left( x + \frac{1}{2}\right)^{2}-\frac{2}{4}",,
2.0,\textrm{wahr},"y = -4\,(x^{2} + x + \frac{3}{4})","y = -4\,\left( x + \frac{1}{2}\right)^{2}-\frac{2}{4}",,
2.0,\textrm{wahr},-\frac{y}{2} = \left( x-1\right)^{2} + \frac{1}{2},-\frac{y}{2} + 7 = \left( x + 2\right)^{2},,
2.0,\textrm{wahr},-y-1\ge 0,y\ge -1,,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 3 & 0 & 1 & 0\\-1 &  & -1 & -2 & 2 & -3\\ \hline  & 1 & 2 & -2 & 3 & -3\end{array},"p{\left(x\right)} = (x + 1)\,(x^{3} + 2\,x^{2}-2\,x + 3)-3",,
1.0,\textrm{wahr},"3\,p\,(-2\,p + 3\,a)-a\,(2\,p-a)","p + 6\,a\,p-2\,a\,p + 2\,a",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 3 & 0 & 1 & 0\\1 &  & 1 & 2 & 2 & 3\\ \hline  & 1 & 2 & 2 & 3 & 3\end{array},"p{\left(x\right)} = (x + 1)\,(x^{3} + 2\,x^{2} + 2\,x + 3) + 3",,
1.0,\textrm{wahr},"(x^{3} + 2\,x^{2} + x + 2)\,x^{2}","x^{5} + 2\,x^{4} + x^{3} + 2\,x",,
2.0,\textrm{wahr},"-0.5\,y + 1.5625 = x^{2} + 0.5\,x + 0.0625","-0.5\,y + 1.75 = \left( x-0.5\right)^{2}",,
1.0,\textrm{wahr},"(2\,x + 1)\,(x^{2} + 2\,x + 2)","(2\,x + 1)\,x^{2} + (2\,x + 1) \cdot 2\,x + (2\,x-1) \cdot 2",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 5 & 1 & 5 & 2 & 0 & 0\\2 &  & 10 & 22 & 54 & 112 & 224\\ \hline  & 5 & 11 & 27 & 56 & 112 & 224\end{array},"p{\left(x\right)} = (x-2)\,(5\,x^{4} + 11\,x^{3} + 27\,x^{2} + 56\,x + 112) + 224",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","\frac{3}{2}\,(3\,n + 1) + 3",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","\frac{3}{2}\,(3\,n + 3) + 3",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","\frac{3}{2}\,n\,(3\,n + 1) + 3",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","\frac{3}{2}\,n\,(3\,n + 1) + 3\,n",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","\frac{3}{2}\,n\,(3\,n + 3) + 3\,n",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 3\right)","3\,n\,(3\,n + 1) + 3\,n",,
2.0,\textrm{wahr},"-0.5\,y + 1.5625 = x^{2} + 0.5\,x + 0.0625","-0.5\,y + 1.5625 = \left( x-0.25\right)^{2}",,
2.0,\textrm{wahr},"-0.5\,y\ge -1.5625",y\ge -1.0625,,
2.0,\textrm{wahr},"-0.5\,y\ge -1.5625",y\ge \frac{25}{8},,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(4\,k-5\right)","\frac{4}{2}\,(n + 1)-5\,n",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(-4\,k + 5\right)","-\frac{4}{2}\,n\,(-n + 1) + 5\,n",,
2.0,\textrm{wahr},"y + 5 = 4\,x^{2} + 2\,x + 1","y + 5 = \left( 2\,x + 1\right)^{2}",,
2.0,\textrm{wahr},\Leftrightarrow \left( 3 + \sqrt{y + 7} = x\right) \vee \left( x = 3-\sqrt{y + 7}\right),\left( 3 + \sqrt{y + 7}\ge 0\right) \vee \left( 3-\sqrt{y + 7}\ge 0\right),,
2.0,\textrm{wahr},\left( 3 + \sqrt{y + 7}\ge 0\right) \vee \left( 3-\sqrt{y + 7}\ge 0\right),\left( \sqrt{y + 7}\ge 3\right) \vee \left( -3\ge \sqrt{y + 7}\right),,
1.0,n > 4,"\sum_{ k = 4}^{n}\left(-3\,k-5\right)","-\frac{3}{2}\,n\,(n + 1)-5\,n-33",,
1.0,n > 3,"\sum_{ k = 3}^{n}\left(-5\,k-4\right)","\sum_{ k = 1}^{n-2}\left(-5\,(k-2)-4\right)",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}6","-5\,\frac{(n-2)\,(n-2 + 1)}{2} \cdot 6\,(n-2)",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}6","-5\,\frac{(n-2)\,(n-2 + 1)}{2}\,(n-2)",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}6","-5\,\frac{(n-2)\,(n-2 + 1)}{2}\,(n-2) \cdot 6",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}6","-5\,\frac{(n-2)\,(n-1)}{2}\,(n-2) \cdot 6",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}6","-5\,\frac{(n-2)\,(n-1)}{2}\,(6\,n-12)",,
2.0,\textrm{wahr},y + 7 = \left( x-3\right)^{2},\left( \sqrt{y + 7} = x-3\right) \vee \left( x-3 = -\sqrt{y + 7}\right),,
2.0,\textrm{wahr},\left|\frac{y}{-5} + \frac{3}{5}\right| \ge 1,\left( \frac{y}{-5} + \frac{3}{5}\le 1\right) \wedge \left( \frac{y}{-5} + \frac{3}{5}\ge -1\right),,
2.0,\textrm{wahr},\left( \frac{y}{-5} + \frac{3}{5}\le 1\right) \wedge \left( \frac{y}{-5} + \frac{3}{5}\ge -1\right),\left( y-5\ge -3\right) \wedge \left( y-3\le 5\right),,
1.0,n > 3,"\sum_{ k = 3}^{n}\left(-5\,k-4\right)","\sum_{ k = 1}^{n + 2}\left(-5\,(k + 2)-4\right)",,
1.0,n > 3,"\sum_{ k = 1}^{n + 2}\left(-5\,(k + 2)-4\right)","\sum_{ k = 1}^{n-2}\left(-5\,k + 6\right)",,
2.0,\textrm{wahr},"\frac{y}{4} + 1 = x^{2} + 0.5\,x + \frac{1}{16}-\frac{1}{16}","y + \frac{17}{16} = x^{2} + 0.5\,x + \frac{1}{16}",,
2.0,\textrm{wahr},\left( \frac{y}{-5} + \frac{3}{5}\le 1\right) \wedge \left( \frac{y}{-5} + \frac{3}{5}\ge -1\right),\left( y-5\ge -5\right) \wedge \left( y-3\le 5\right),,
1.0,n > 3,"\sum_{ k = 1}^{n-2}\left(-5\,(k + 2)-4\right)","\sum_{ k = 1}^{n-2}\left(-5\,k + 6\right)",,
1.0,n > 3,"-5\,\sum_{ k = 1}^{n-2}k-\sum_{ k = 1}^{n-2}14","-5\,\frac{(n-2)\,(n-1)}{2}-(6\,n-12)",,
2.0,y\neq 0,\frac{-2}{y}\ge 3,-\frac{2}{3}\ge y,,
2.0,y\neq 0,-\frac{2}{3}\ge y,\textrm{falsch},,
1.0,n > 3,"3\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}11","3\,\frac{n-2\,(n-1)}{2} \cdot 11\,(n-2)",,
1.0,n > 3,"3\,\sum_{ k = 1}^{n-2}k + \sum_{ k = 1}^{n-2}11","3\,\frac{(n-2)\,(n-1)}{2} \cdot 11\,(n-2)",,
2.0,\textrm{wahr},"y = -4\,\cos{\left(3\,x-3\right)} + 2","y-2 = 4\,\cos{\left(3\,x-3\right)}",,
2.0,\textrm{wahr},\left( \frac{y}{4}-\frac{1}{2}\le 1\right) \wedge \left( \frac{y}{4}-\frac{1}{2}\ge -1\right),\left( y + 2\le 4\right) \wedge \left( y + 2\ge -4\right),,
2.0,\textrm{wahr},"-4\,\cos{\left(3\,x-4\right)} = y + 6",\left|y + 6\right|  = -4,,
2.0,\textrm{wahr},\left( \frac{y}{-4} + \frac{2}{4}\le 1\right) \wedge \left( \frac{y}{-4} + \frac{2}{4}\ge -1\right),\left( y-2\le -4\right) \wedge \left( y-2\ge +4\right),,
2.0,\textrm{wahr},"-4\,\cos{\left(3\,x-4\right)} = y + 6",\left|y + 6\right|  = 4,,
2.0,\textrm{wahr},\left|y + 6\right| \ge -4,\left( y + 6\le 4\right) \wedge \left( y + 6\ge -4\right),,
2.0,\textrm{wahr},"y + 6 = -4\,\cos{\left(3\,x-4\right)}",\left|y + 6\right|  = 4,,
2.0,\textrm{wahr},"y + 6 = -4\,\cos{\left(3\,x-4\right)}",\left|y + 6\right|  = -4,,
2.0,y\neq 0,"(x^{2} + 4)\,y = -3",\left( x-2\right)^{2} = \frac{-3}{y},,
2.0,y\neq 0,0 < \frac{-3}{y},y < -3,,
2.0,y\neq 0,"(x^{2} + 6)\,y = -5","(x-6)\,(x + 6) = -\frac{5}{y}",,
2.0,y\neq 0,0 < -\frac{5}{y}-6,6 > -\frac{5}{y},,
2.0,y\neq 0,6 > -\frac{5}{y},"6\,y > -5",,
2.0,\textrm{wahr},-\frac{y}{3}\ge -\frac{16}{9},y\ge \frac{16}{3},,
2.0,\textrm{wahr},\frac{y}{4}\ge -\frac{47}{64},y\ge -\frac{47}{256},,
2.0,\textrm{wahr},"\frac{y}{4} = x^{2} + \frac{1}{4}\,x + \frac{1}{64}-\frac{1}{64} + \frac{3}{4}",\frac{y}{4} = \left( x + \frac{1}{8}\right)^{2}-\frac{47}{64},,
2.0,\textrm{wahr},\frac{y}{4}\ge -\frac{11}{16},y\ge -\frac{11}{64},,
2.0,\textrm{wahr},"\frac{y}{4} = x^{2} + \frac{1}{4}\,x + \frac{1}{16}-\frac{1}{16} + \frac{3}{4}",\frac{y}{4} = \left( x + \frac{1}{8}\right)^{2}-\frac{11}{16},,
2.0,\textrm{wahr},"\frac{y}{4} = x^{2} + \frac{1}{64}\,x + \frac{1}{16}-\frac{1}{16} + \frac{3}{4}",\frac{y}{4} = \left( x + \frac{1}{8}\right)^{2}-\frac{11}{16},,
2.0,\textrm{wahr},"\frac{y}{4} = x^{2} + \frac{1}{4}\,x + \frac{1}{64}-\frac{1}{64} + \frac{3}{4}","\frac{y}{4} = x^{2} + \frac{1}{64}\,x + \frac{1}{16}-\frac{1}{16} + \frac{3}{4}",,
2.0,\textrm{wahr},"p{\left(x\right)} = 3\,x^{5} + 5\,x^{4} + 5\,x^{2} + 3\,\frac{1^{3} \cdot 3 \cdot 8 \cdot 13}{3 \cdot 8 \cdot 13 \cdot 16}","p{\left(x\right)} = (x-1)\,(3\,x^{4} + 8\,x^{3} + 13\,x) + 16",,
2.0,\textrm{wahr},"p{\left(x\right)} = (x-1)\,q{\left(x\right)} + r\,\frac{1^{3} \cdot 3 \cdot 8 \cdot 13}{3 \cdot 8 \cdot 13 \cdot 16}","p{\left(x\right)} = (x-1)\,(3\,x^{4} + 8\,x^{3} + 13\,x) + 16",,
2.0,y\neq 0,"x^{2} = \frac{5-8\,y}{y}",x = \sqrt{\overline{y}},,
2.0,x\neq \frac{1}{4},"(4\,y-4)\,x = y-3",0 = -2,,
2.0,\textrm{wahr},"-y-6 = 4\,\cos{\left(3\,x-4\right)}",\left|-y-6\right|  = 4,,
2.0,y\neq 0,4\ge -\frac{2}{y},"4\,y\ge -2",,
2.0,y\neq 0,4\ge -\frac{2}{y},"-4\,y\le 2",,
2.0,\left( y\neq 0\right) \wedge \left( y < 0\right),y\le -\frac{1}{2},\textrm{wahr},,
2.0,\textrm{wahr},"-3\,n-4\,n = 4-1","7\,n = 3",,
2.0,\textrm{wahr},"7\,n = 3",n = -\frac{3}{7},,
2.0,\textrm{wahr},y = -(x^{2}-2 \cdot \frac{3}{2} + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-2),y = -(\left( x-\frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-2),,
2.0,\textrm{wahr},"y = -(x^{2}-3\,x-2)",y = -(x^{2}-2 \cdot \frac{3}{2} + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-2),,
2.0,\textrm{wahr},\Leftrightarrow y = \left( x-1\right)^{2}-4,y + 4\ge \left( x-1\right)^{2},,
2.0,\textrm{wahr},"y = -x^{2} + 3\,x + 2","y = -x^{2}-3\,x-2",,
2.0,x\neq \frac{3}{2},"-2\,x\,y + 3\,y = -x + 1","-2\,x\,y-x = 1-3\,y",,
2.0,\left( x\neq \frac{3}{2}\right) \wedge \left( y = \frac{1}{2}\right),"(-2\,y-1)\,x = 1-3\,y",0 = \frac{5}{2},,
2.0,\left( x\neq \frac{3}{2}\right) \wedge \left( y\neq \frac{1}{2}\right),"(-2\,y-1)\,x = 1-3\,y","x = \frac{1-3\,y}{-2\,y-1}",,
2.0,\left( x\neq \frac{3}{2}\right) \wedge \left( y\neq \frac{1}{2}\right),"(-2\,y + 1)\,x = 1-3\,y","x = \frac{1-3\,y}{-2\,y-1}",,
1.0,n > 2,"\sum_{ k = 2}^{n}\left(4\,k-5\right)","\sum_{ k = 1}^{n-3}\left(4\,(k + 3)-5\right)",,
1.0,n > 2,"4\,\sum_{ k = 1}^{n-3}k + \sum_{ k = 1}^{n-3}7","\frac{4}{2}\,(n-3)\,(n-3 + 1) + 7\,(n-3)",,
1.0,n > 2,"\sum_{ k = 2}^{n}\left(4\,k-5\right)","\sum_{ k = 1}^{n-1}\left(4\,(k + 3)-5\right)",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 2 & 2 & 2 & 5 & 5\\2 &  & 4 & 12 & 28 & 66\\ \hline  & 2 & 6 & 14 & 33 & 71\end{array},"p{\left(x\right)} = (x + 2)\,(2\,x^{5} + 6\,x^{4} + 14\,x^{3} + 33\,x^{2} + 71\,x) + 71",,
2.0,\textrm{wahr},\frac{17}{4}\le y,\textrm{wahr},,
2.0,\textrm{wahr},y = \left( x-1\right)^{2}-1^{2} + 2,y = \left( x-1\right)^{2} + 3,,
2.0,\textrm{wahr},"y = \left( x-1\right)^{2}\,\left( -1\right)^{2} + 2",y = \left( x-1\right)^{2} + 3,,
2.0,\textrm{wahr},y = \left( x-\frac{2}{2}\right)^{2}-\left( \frac{2}{2}\right)^{2} + 2,"y = \left( x-1\right)^{2}\,\left( -1\right)^{2} + 2",,
1.0,n > 3,"\sum_{ k = 3}^{n}\left(-5\,k-5\right)","\frac{(-5\,n)\,(n + 3)}{2}-5\,n",,
2.0,\left( x\neq \frac{3}{2}\right) \wedge \left( y = \frac{1}{2}\right),o = -\frac{5}{2},\textrm{falsch},,
1.0,n > 3,"\sum_{ k = 3}^{n}\left(-5\,k-5\right)","\frac{(-5\,n)\,(n + 1)}{2}-5\,n",,
2.0,\textrm{wahr},"5\,\cos{\left(4\,x + 2\right)} = y-2",\left|y-2\right|  = 1,,
2.0,\textrm{wahr},"y = 5\,\cos{\left(4\,x-5\right)}-5","y + 5 = 4\,\cos{\left(4\,x-5\right)}",,
2.0,\textrm{wahr},"y = x^{2}-2\,x-3","y = x^{2} \cdot 2\,x + 1-1-3",,
2.0,\textrm{wahr},"y = x^{2} \cdot 2\,x + 1-1-3",y = \left( x-1\right)^{2}-4,,
2.0,\textrm{wahr},\Leftrightarrow y + 4\ge 0,y\ge -4,,
2.0,y\neq 0,y = \frac{3}{x^{2} + 5},"x^{2} + 5\,y = 3",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 5 & 2 & 1 & 4 & 0\\1 &  & 1 & 6 & 8 & 9 & 13\\ \hline  & 1 & 6 & 8 & 9 & 13 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x + 13) + 13",,
2.0,\textrm{wahr},"p{\left(x\right)} = x^{5} + 5\,x^{4} + 2\,x^{3} + x^{2} + 4\,x \cdot 1 \cdot 5 \cdot 2 \cdot 1 \cdot 4 \cdot 0\,\frac{1\, |\, 1 \cdot 6 \cdot 8 \cdot 9 \cdot 13}{1 \cdot 6 \cdot 8 \cdot 9 \cdot 13 \cdot 13}","p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x + 13) + 13",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 5 & 2 & 1 & 4 & 0\\1 &  & 1 & 6 & 8 & 9 & 13\\ \hline  & 1 & 6 & 8 & 9 & 13 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x + 13)",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 5 & 2 & 1 & 4 & 0\\1 &  & 1 & 6 & 8 & 9 & 13\\ \hline  & 1 & 6 & 8 & 9 & 13 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x) + 13",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 5 & 2 & 1 & 4\\1 &  & 1 & 6 & 8 & 9\\ \hline  & 1 & 6 & 8 & 9 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x + 13) + 13",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 5 & 2 & 1 & 4\\1 &  & 1 & 6 & 8 & 9\\ \hline  & 1 & 6 & 8 & 9 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x + 13)",,
2.0,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 5 & 2 & 1 & 4\\1 &  & 1 & 6 & 8 & 9\\ \hline  & 1 & 6 & 8 & 9 & 13\end{array},"p{\left(x\right)} = (x + 1)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 9\,x) + 13",,
1.0,n > 3,"\sum_{ k = 3}^{n}\left(5\,k-2\right)","\sum_{ k = 3}^{n}\left(5\,k-2\right)-(5 \cdot 3-2)-(5 \cdot 4-2)\,(5 \cdot 5-2)",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(-3\,k-2\right)","\frac{n\,(n + 1)}{2}",,
2.0,\left( x\neq -\frac{1}{1}\right) \wedge \left( y = \frac{1}{2}\right),"(2\,y-2)\,x = -2\,y-1",0 = -2,,
2.0,\left( x\neq -\frac{1}{1}\right) \wedge \left( y\neq \frac{1}{2}\right),"(2\,y-2)\,x = -2\,y-1","x = \frac{-2\,y-1}{2\,y-2}",,
1.0,\textrm{wahr},"\sum_{ k = 1}^{n}\left(-3\,k-2\right)","-3\,n-2",,
2.0,\textrm{wahr},"y + 4 = -2\,x^{2}-2\,x",-\frac{y + 4}{2} = x^{2} + \frac{x}{2},,
1.0,\textrm{wahr},"3\,x^{3} + 3\,x^{2} + 3 + 3\,x^{4} + 4\,x^{2}","3\,x^{4} + 3\,x^{3} + 4^{2} + 3\,x^{2} + 3",,
1.0,\textrm{wahr},"3\,x^{4} + 3\,x^{3} + 4^{2} + 3\,x^{2} + 3","3\,x^{4} + 3\,x^{3} + 7\,x^{2} + 3",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 4 & 3 & 0 & 0 & 5\\1 &  & 1 & 5 & 8 & 8 & 8\\ \hline  & 1 & 5 & 8 & 8 & 8 & 13\end{array},"p{\left(x\right)} = (x-1)\,(x^{4} + 5\,x^{3} + 8\,x^{2} + 8\,x + 8) + 13",,
2.0,\textrm{wahr},-\frac{y + 4}{2} = x^{2} + x,-\frac{y + 4}{2} = x^{2} + \frac{x}{2},,
1.0,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}2","-3\,\frac{n\,n}{2}-n \cdot 2",,
2.0,\textrm{wahr},-\frac{y + 4}{2} + \left( \frac{1}{2}\right)^{2}\ge 0,-\frac{y}{4}-\frac{4}{2} + \frac{1}{4}\ge 0,,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 2 & 4 & 4 & 3 & 3\\1 &  & 1 & 3 & 7 & 11 & 14\\ \hline  & 1 & 3 & 7 & 11 & 14 & 17\end{array},"p{\left(x\right)} = (x-1)\,(x^{4} + 3\,x^{3} + 7\,x^{2} + 11\,x + 14) + 17",,
2.0,\textrm{wahr},-\frac{y}{2}-\frac{4}{2} + \frac{1}{4}\ge 0,-\frac{y}{3}\ge \frac{7}{4},,
2.0,\textrm{wahr},-\frac{y}{2}-\frac{4}{2} + \frac{1}{4}\ge 0,-\frac{y}{3}\le \frac{7}{4},,
1.0,n > 2,"-3\,\sum_{ k = 2}^{n}k + \sum_{ k = 2}^{n}1","-3\,\frac{n\,(n + 1)}{2} + n",,
1.0,n > 2,"-3\,\sum_{ k = 2}^{n}k + \sum_{ k = 2}^{n}1","-3\,\frac{n\,(n + 2)}{2} + n",,
2.0,\textrm{wahr},y\ge -4,"W = \left[-4,\infty \right)",,
1.0,n > 2,"-3\,\sum_{ k = 2}^{n}k + \sum_{ k = 2}^{n}1","-3\,\frac{n\,(n + 1)}{2} + n \cdot 1",,
2.0,\textrm{wahr},\begin{array}{r|rrrrrr}  & 2 & 2 & 0 & 3 & 1 & 0\\2 &  & 4 & 12 & 24 & 54 & 110\\ \hline  & 2 & 6 & 12 & 27 & 44 & 110\end{array},"p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 12\,x^{2} + 27\,x + 55) + 110",,
2.0,y\neq 0,y = \frac{-4}{x^{2} + 5},y = x + 5,,
2.0,\textrm{wahr},"2 \cdot 2 \cdot 0 \cdot 3 \cdot 1 \cdot 0\,\frac{2\, |\, 4 \cdot 12 \cdot 24 \cdot 54 \cdot 110}{2 \cdot 6 \cdot 12 \cdot 27 \cdot 44 \cdot 110}","p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 12\,x^{2} + 27\,x + 55) + 110",,
2.0,\left( y\neq 0\right) \wedge \left( y\neq 0\right),"y = f\,x",y = x + 5,,
2.0,\textrm{wahr},\left( y + 3\ge -4\right) \vee \left( y + 3\le 4\right),\left( y\ge -1\right) \vee \left( y\le 1\right),,
2.0,\left( y\neq 0\right) \wedge \left( y\neq 0\right),"y = f\,x",y = \frac{-4}{x^{2} + 5},,
2.0,\left( y\neq 0\right) \wedge \left( y\neq 0\right),y = \frac{-4}{x^{2} + 5},y + 4 = x^{2} + 5,,
2.0,y\neq 0,"y = f\,x",y = \frac{-4}{x^{2} + 5},,
2.0,y\neq 0,y = \frac{-4}{x^{2} + 5},y + 4 = x^{2} + 5,,
1.0,\textrm{wahr},"2\,x^{3} + 3\,x^{2}-(2\,x^{4} + 2\,x^{3} + 4\,x^{2} + 2\,x + 1)","2\,x^{4} + 2\,x^{3}-1\,x^{2} + 2\,x + 1",,
2.0,\textrm{wahr},"y = x^{2}-8\,x + 1",y = \left( x-4\right)^{2}-3,,
2.0,\textrm{wahr},y = \left( x-4\right)^{2}-15,y + 3 = \left( x-15\right)^{2},,
1.0,\textrm{wahr},"2\,x^{3} + 3\,x^{2}-(2\,x^{4} + 2\,x^{3} + 4\,x^{2} + 2\,x + 1)","-1\,x^{2}-2\,x^{4} + 2\,x + 1",,
1.0,\textrm{wahr},"2\,x^{3} + 3\,x^{2}-(2\,x^{4} + 2\,x^{3} + 4\,x^{2} + 2\,x + 1)","-1\,x^{2} + 2\,x^{4} + 2\,x + 1",,
2.0,\textrm{wahr},"y = \sin{\left(2\,x-3\right)}","\sin{\left(2\,x\right)} = y + 3",,
2.0,\textrm{wahr},\left( y\ge -4\right) \wedge \left( y\le -2\right),"W = \left[-4,-2\right]",,
